DateCollected,Time,Vineyard,AirTemperature,HeatIndex,RelativeHumidity,StationPressure,DewPoint,Sex,Activity,Weight,BodyTemperature
10/8/21,8:00:00 AM,VC,20.60,NA,NA,NA,NA,F,I,0.43,78.00
10/8/21,8:00:00 AM,VC,20.60,NA,NA,NA,NA,F,F,0.89,86.60
10/8/21,8:00:00 AM,VC,20.60,NA,NA,NA,NA,F,I,0.57,81.60
10/8/21,8:00:00 AM,VC,20.60,NA,NA,NA,NA,F,F,0.48,82.10
10/8/21,8:00:00 AM,VC,20.60,NA,NA,NA,NA,F,F,0.72,88.30
10/8/21,8:00:00 AM,VC,20.60,NA,NA,NA,NA,F,F,0.47,82.40
10/8/21,8:00:00 AM,VC,20.60,NA,NA,NA,NA,F,F,0.33,80.40
10/8/21,8:00:00 AM,VC,20.60,NA,NA,NA,NA,F,I,0.41,74.60
10/8/21,8:00:00 AM,VC,20.60,NA,NA,NA,NA,F,I,0.54,81.40
10/8/21,8:00:00 AM,VC,20.60,NA,NA,NA,NA,F,I,0.41,75.90
10/8/21,8:00:00 AM,VC,20.60,NA,NA,NA,NA,F,I,0.57,86.10
10/8/21,8:00:00 AM,VC,20.60,NA,NA,NA,NA,F,F,0.71,88.30
10/8/21,8:00:00 AM,VC,20.60,NA,NA,NA,NA,F,I,0.81,83.60
10/8/21,8:00:00 AM,VC,20.60,NA,NA,NA,NA,F,F,0.50,73.70
10/8/21,8:00:00 AM,VC,20.60,NA,NA,NA,NA,F,F,0.57,82.70
10/8/21,8:00:00 AM,VC,20.60,NA,NA,NA,NA,F,F,0.62,85.80
10/8/21,8:00:00 AM,VC,20.60,NA,NA,NA,NA,F,F,0.68,85.50
10/8/21,8:00:00 AM,VC,20.60,NA,NA,NA,NA,F,F,0.64,87.70
10/8/21,8:00:00 AM,VC,20.60,NA,NA,NA,NA,F,I,0.58,78.90
10/8/21,8:00:00 AM,VC,20.60,NA,NA,NA,NA,F,F,0.47,78.00
10/8/21,8:00:00 AM,VC,20.60,NA,NA,NA,NA,M,F,0.25,83.30
10/8/21,8:00:00 AM,VC,20.60,NA,NA,NA,NA,M,F,0.24,81.40
10/8/21,8:00:00 AM,VC,20.60,NA,NA,NA,NA,M,I,0.33,83.20
10/8/21,8:00:00 AM,VC,20.60,NA,NA,NA,NA,M,F,0.34,83.80
10/8/21,8:00:00 AM,VC,20.60,NA,NA,NA,NA,M,C,0.35,84.90
10/8/21,8:00:00 AM,VC,20.60,NA,NA,NA,NA,M,I,0.33,83.80
10/8/21,8:00:00 AM,VC,20.60,NA,NA,NA,NA,M,I,0.62,82.10
10/8/21,8:00:00 AM,VC,20.60,NA,NA,NA,NA,M,I,0.27,77.60
10/8/21,8:00:00 AM,VC,20.60,NA,NA,NA,NA,M,I,0.58,82.50
10/8/21,8:00:00 AM,VC,20.60,NA,NA,NA,NA,M,I,0.25,75.60
10/8/21,8:00:00 AM,VC,20.60,NA,NA,NA,NA,M,I,0.29,80.40
10/8/21,8:00:00 AM,VC,20.60,NA,NA,NA,NA,M,NA,NA,NA
10/8/21,8:00:00 AM,VC,20.60,NA,NA,NA,NA,M,NA,NA,NA
10/8/21,8:00:00 AM,VC,20.60,NA,NA,NA,NA,M,NA,NA,NA
10/8/21,8:00:00 AM,VC,20.60,NA,NA,NA,NA,M,NA,NA,NA
10/8/21,8:00:00 AM,VC,20.60,NA,NA,NA,NA,M,NA,NA,NA
10/8/21,8:00:00 AM,VC,20.60,NA,NA,NA,NA,M,NA,NA,NA
10/8/21,8:00:00 AM,VC,20.60,NA,NA,NA,NA,M,NA,NA,NA
10/8/21,8:00:00 AM,VC,20.60,NA,NA,NA,NA,M,NA,NA,NA
10/8/21,8:00:00 AM,VC,20.60,NA,NA,NA,NA,M,NA,NA,NA
10/8/21,10:00:00 AM,VC,21.90,NA,NA,NA,NA,F,F,0.59,83.80
10/8/21,10:00:00 AM,VC,21.90,NA,NA,NA,NA,F,F,0.75,84.90
10/8/21,10:00:00 AM,VC,21.90,NA,NA,NA,NA,F,F,0.57,84.30
10/8/21,10:00:00 AM,VC,21.90,NA,NA,NA,NA,F,F,0.81,82.90
10/8/21,10:00:00 AM,VC,21.90,NA,NA,NA,NA,F,I,0.40,82.30
10/8/21,10:00:00 AM,VC,21.90,NA,NA,NA,NA,F,I,0.74,88.00
10/8/21,10:00:00 AM,VC,21.90,NA,NA,NA,NA,F,I,0.38,84.10
10/8/21,10:00:00 AM,VC,21.90,NA,NA,NA,NA,F,I,0.47,84.30
10/8/21,10:00:00 AM,VC,21.90,NA,NA,NA,NA,F,W,0.46,84.50
10/8/21,10:00:00 AM,VC,21.90,NA,NA,NA,NA,F,F,0.52,86.60
10/8/21,10:00:00 AM,VC,21.90,NA,NA,NA,NA,M,F,0.37,85.40
10/8/21,10:00:00 AM,VC,21.90,NA,NA,NA,NA,M,I,0.25,86.10
10/8/21,10:00:00 AM,VC,21.90,NA,NA,NA,NA,M,I,0.29,83.90
10/8/21,10:00:00 AM,VC,21.90,NA,NA,NA,NA,M,W,0.32,82.10
10/8/21,10:00:00 AM,VC,21.90,NA,NA,NA,NA,M,M,0.17,88.00
10/8/21,10:00:00 AM,VC,21.90,NA,NA,NA,NA,M,C,0.27,86.60
10/8/21,10:00:00 AM,VC,21.90,NA,NA,NA,NA,M,I,0.18,83.20
10/8/21,10:00:00 AM,VC,21.90,NA,NA,NA,NA,M,I,0.21,82.40
10/8/21,10:00:00 AM,VC,21.90,NA,NA,NA,NA,M,F,0.27,86.60
10/8/21,10:00:00 AM,VC,21.90,NA,NA,NA,NA,M,F,0.22,81.30
10/8/21,12:00:00 PM,VC,25.80,NA,NA,NA,NA,F,W,0.79,89.30
10/8/21,12:00:00 PM,VC,25.80,NA,NA,NA,NA,F,I,0.69,86.60
10/8/21,12:00:00 PM,VC,25.80,NA,NA,NA,NA,F,F,0.46,84.40
10/8/21,12:00:00 PM,VC,25.80,NA,NA,NA,NA,F,F,0.46,91.30
10/8/21,12:00:00 PM,VC,25.80,NA,NA,NA,NA,F,F,0.54,88.30
10/8/21,12:00:00 PM,VC,25.80,NA,NA,NA,NA,F,F,0.72,88.10
10/8/21,12:00:00 PM,VC,25.80,NA,NA,NA,NA,F,I,0.55,87.30
10/8/21,12:00:00 PM,VC,25.80,NA,NA,NA,NA,F,W,0.28,85.40
10/8/21,12:00:00 PM,VC,25.80,NA,NA,NA,NA,F,I,0.75,87.20
10/8/21,12:00:00 PM,VC,25.80,NA,NA,NA,NA,F,W,0.72,92.80
10/8/21,12:00:00 PM,VC,25.80,NA,NA,NA,NA,M,W,0.29,88.00
10/8/21,12:00:00 PM,VC,25.80,NA,NA,NA,NA,M,W,0.24,86.10
10/8/21,12:00:00 PM,VC,25.80,NA,NA,NA,NA,M,F,0.27,92.80
10/8/21,12:00:00 PM,VC,25.80,NA,NA,NA,NA,M,W,0.27,89.30
