Date,Month,Day,Year,Temp,Time,Rep,Bug,Gender,Weight,Alive
10/29/24,10,29,2024,0,1,1,1,F,0.47,Y
10/29/24,10,29,2024,0,1,1,2,F,0.49,Y
10/29/24,10,29,2024,0,1,1,3,F,0.42,Y
10/29/24,10,29,2024,0,1,1,4,F,0.46,N
10/29/24,10,29,2024,0,1,1,5,F,0.51,N
10/29/24,10,29,2024,0,1,1,6,M,0.26,N
11/4/24,11,4,2024,0,1,1,1,F,0.47,Y
11/4/24,11,4,2024,0,1,1,2,F,0.67,Y
11/4/24,11,4,2024,0,1,1,3,F,0.39,Y
11/4/24,11,4,2024,0,1,1,4,F,0.57,Y
11/4/24,11,4,2024,0,1,2,5,F,0.41,N
11/4/24,11,4,2024,0,1,2,6,F,0.54,N
11/4/24,11,4,2024,0,1,2,7,F,0.33,N
11/4/24,11,4,2024,0,1,2,8,F,0.49,N
11/4/24,11,4,2024,0,1,2,9,F,0.39,Y
11/4/24,11,4,2024,0,1,2,10,F,0.49,N
9/9/24,9,9,2024,-2.5,1,1,1,F,0.42,Y
9/9/24,9,9,2024,-2.5,1,1,2,F,0.51,Y
9/9/24,9,9,2024,-2.5,1,1,3,F,0.56,Y
9/9/24,9,9,2024,-2.5,1,1,4,F,0.45,Y
9/9/24,9,9,2024,-2.5,1,1,5,F,0.48,Y
9/9/24,9,9,2024,-2.5,1,1,6,M,0.27,Y
9/9/24,9,9,2024,-2.5,1,1,7,M,0.26,N
9/9/24,9,9,2024,-2.5,1,1,8,M,0.28,N
9/9/24,9,9,2024,-2.5,1,1,9,M,0.27,Y
9/9/24,9,9,2024,-2.5,1,1,10,M,0.25,Y
9/9/24,9,9,2024,-2.5,1,2,1,F,0.43,Y
9/9/24,9,9,2024,-2.5,1,2,2,F,0.42,N
9/9/24,9,9,2024,-2.5,1,2,3,F,0.47,Y
9/9/24,9,9,2024,-2.5,1,2,4,F,0.4,Y
9/9/24,9,9,2024,-2.5,1,2,5,F,0.29,Y
9/9/24,9,9,2024,-2.5,1,2,6,F,0.47,Y
9/9/24,9,9,2024,-2.5,1,2,7,F,0.34,Y
9/11/24,9,11,2024,-2.5,1,2,8,F,0.51,Y
