DateCollected,DateTested,Month,Day,Year,Temp,Time,Rep,Bug,Alive
6/4/24,6/4/24,6,4,2024,-2.5,180,1,1,Y
6/4/24,6/4/24,6,4,2024,-2.5,180,1,2,N
6/4/24,6/4/24,6,4,2024,-2.5,180,1,3,Y
6/4/24,6/4/24,6,4,2024,-2.5,180,1,4,Y
6/4/24,6/4/24,6,4,2024,-2.5,180,1,5,Y
6/4/24,6/4/24,6,4,2024,-2.5,180,1,6,Y
6/4/24,6/4/24,6,4,2024,-2.5,180,1,7,Y
6/4/24,6/4/24,6,4,2024,-2.5,180,1,8,Y
6/4/24,6/4/24,6,4,2024,-2.5,180,1,9,Y
6/4/24,6/4/24,6,4,2024,-2.5,180,1,10,Y
6/4/24,6/5/24,6,5,2024,-2.5,180,2,1,Y
6/4/24,6/5/24,6,5,2024,-2.5,180,2,2,N
6/4/24,6/5/24,6,5,2024,-2.5,180,2,3,N
6/4/24,6/5/24,6,5,2024,-2.5,180,2,4,Y
6/4/24,6/5/24,6,5,2024,-2.5,180,2,5,Y
6/4/24,6/5/24,6,5,2024,-2.5,180,2,6,N
6/4/24,6/5/24,6,5,2024,-2.5,180,2,7,Y
6/4/24,6/5/24,6,5,2024,-2.5,180,2,8,N
6/4/24,6/5/24,6,5,2024,-2.5,180,2,9,Y
6/4/24,6/5/24,6,5,2024,-2.5,180,2,10,N
6/4/24,6/5/24,6,5,2024,-2.5,180,3,1,N
6/4/24,6/5/24,6,5,2024,-2.5,180,3,2,Y
6/4/24,6/5/24,6,5,2024,-2.5,180,3,3,Y
6/4/24,6/5/24,6,5,2024,-2.5,180,3,4,Y
6/4/24,6/5/24,6,5,2024,-2.5,180,3,5,Y
6/4/24,6/5/24,6,5,2024,-2.5,180,3,6,Y
6/4/24,6/5/24,6,5,2024,-2.5,180,3,7,Y
6/4/24,6/5/24,6,5,2024,-2.5,180,3,8,Y
6/4/24,6/5/24,6,5,2024,-2.5,180,3,9,Y
6/4/24,6/5/24,6,5,2024,-2.5,180,3,10,Y
5/28/24,5/28/24,5,28,2024,-2.5,210,1,1,N
5/28/24,5/28/24,5,28,2024,-2.5,210,1,2,N
5/28/24,5/28/24,5,28,2024,-2.5,210,1,3,Y
5/28/24,5/28/24,5,28,2024,-2.5,210,1,4,Y
5/28/24,5/28/24,5,28,2024,-2.5,210,1,5,Y
5/28/24,5/28/24,5,28,2024,-2.5,210,1,6,Y
5/28/24,5/28/24,5,28,2024,-2.5,210,1,7,N
5/28/24,5/28/24,5,28,2024,-2.5,210,1,8,N
5/28/24,5/28/24,5,28,2024,-2.5,210,1,9,Y
5/28/24,5/28/24,5,28,2024,-2.5,210,1,10,N
5/28/24,5/28/24,5,28,2024,-2.5,210,2,1,Y
5/28/24,5/28/24,5,28,2024,-2.5,210,2,2,Y
5/28/24,5/28/24,5,28,2024,-2.5,210,2,3,Y
5/28/24,5/28/24,5,28,2024,-2.5,210,2,4,Y
5/28/24,5/28/24,5,28,2024,-2.5,210,2,5,N
5/28/24,5/28/24,5,28,2024,-2.5,210,2,6,Y
5/28/24,5/28/24,5,28,2024,-2.5,210,2,7,Y
5/28/24,5/28/24,5,28,2024,-2.5,210,2,8,Y
5/28/24,5/28/24,5,28,2024,-2.5,210,2,9,Y
5/28/24,5/28/24,5,28,2024,-2.5,210,2,10,Y
5/28/24,5/28/24,5,28,2024,-2.5,210,3,1,Y
5/28/24,5/28/24,5,28,2024,-2.5,210,3,2,Y
5/28/24,5/28/24,5,28,2024,-2.5,210,3,3,Y
5/28/24,5/28/24,5,28,2024,-2.5,210,3,4,Y
5/28/24,5/28/24,5,28,2024,-2.5,210,3,5,Y
5/28/24,5/28/24,5,28,2024,-2.5,210,3,6,Y
