Date Collected,Date Tested,Days,Temp (C) ,Time (min),Rep,Bug,Alive,Odds,Notes
6/7/24,6/7/24,0,0,60,1,1,Y,100%,"Trail was ran twice, once on day 0 and once on day 2"
6/7/24,6/7/24,0,0,60,1,2,Y,,day 0 = 100%
6/7/24,6/7/24,0,0,60,1,3,Y,,day 2 = 57%
6/7/24,6/7/24,0,0,60,1,4,Y,,seems as if day 3 is when they die
6/7/24,6/7/24,0,0,60,1,5,Y,,
6/7/24,6/7/24,0,0,60,1,6,Y,,
6/7/24,6/7/24,0,0,60,1,7,Y,,
6/7/24,6/7/24,0,0,60,1,8,Y,,
6/7/24,6/7/24,0,0,60,1,9,Y,,
6/7/24,6/7/24,0,0,60,1,10,Y,,
6/7/24,6/7/24,0,0,60,2,1,Y,,
6/7/24,6/7/24,0,0,60,2,2,Y,,
6/7/24,6/7/24,0,0,60,2,3,Y,,
6/7/24,6/7/24,0,0,60,2,4,Y,,
6/7/24,6/7/24,0,0,60,2,5,Y,,
6/7/24,6/7/24,0,0,60,2,6,Y,,
6/7/24,6/7/24,0,0,60,2,7,Y,,
6/7/24,6/7/24,0,0,60,2,8,Y,,
6/7/24,6/7/24,0,0,60,2,9,Y,,
6/7/24,6/7/24,0,0,60,2,10,Y,,
6/7/24,6/7/24,0,0,60,3,1,Y,,
6/7/24,6/7/24,0,0,60,3,2,Y,,
6/7/24,6/7/24,0,0,60,3,3,Y,,
6/7/24,6/7/24,0,0,60,3,4,Y,,
6/7/24,6/7/24,0,0,60,3,5,Y,,
6/7/24,6/7/24,0,0,60,3,6,Y,,
6/7/24,6/7/24,0,0,60,3,7,Y,,
6/7/24,6/7/24,0,0,60,3,8,Y,,
6/7/24,6/7/24,0,0,60,3,9,Y,,
6/7/24,6/7/24,0,0,60,3,10,Y,,
6/4/24,6/4/24,0,-2.5,60,1,1,Y,100%,
6/4/24,6/4/24,0,-2.5,60,1,2,Y,,
6/4/24,6/4/24,0,-2.5,60,1,3,Y,,
6/4/24,6/4/24,0,-2.5,60,1,4,Y,,
6/4/24,6/4/24,0,-2.5,60,1,5,Y,,
6/4/24,6/4/24,0,-2.5,60,1,6,Y,,
6/4/24,6/4/24,0,-2.5,60,1,7,Y,,
6/4/24,6/4/24,0,-2.5,60,1,8,Y,,
6/4/24,6/4/24,0,-2.5,60,1,9,Y,,
6/4/24,6/4/24,0,-2.5,60,1,10,Y,,
6/4/24,6/4/24,0,-2.5,60,2,1,Y,,
6/4/24,6/4/24,0,-2.5,60,2,2,Y,,
6/4/24,6/4/24,0,-2.5,60,2,3,Y,,
6/4/24,6/4/24,0,-2.5,60,2,4,Y,,
6/4/24,6/4/24,0,-2.5,60,2,5,Y,,
6/4/24,6/4/24,0,-2.5,60,2,6,Y,,
6/4/24,6/4/24,0,-2.5,60,2,7,Y,,
6/4/24,6/4/24,0,-2.5,60,2,8,Y,,
6/4/24,6/4/24,0,-2.5,60,2,9,Y,,
6/4/24,6/4/24,0,-2.5,60,2,10,Y,,
6/4/24,6/4/24,0,-2.5,60,3,1,Y,,
6/4/24,6/4/24,0,-2.5,60,3,2,Y,,
6/4/24,6/4/24,0,-2.5,60,3,3,Y,,
6/4/24,6/4/24,0,-2.5,60,3,4,Y,,
6/4/24,6/4/24,0,-2.5,60,3,5,Y,,
6/4/24,6/4/24,0,-2.5,60,3,6,Y,,
6/4/24,6/4/24,0,-2.5,60,3,7,Y,,
6/4/24,6/4/24,0,-2.5,60,3,8,Y,,
6/4/24,6/4/24,0,-2.5,60,3,9,Y,,
6/4/24,6/4/24,0,-2.5,60,3,10,Y,,
6/4/24,6/5/24,1,-5,60,1,1,N,27%,
6/4/24,6/5/24,1,-5,60,1,2,N,,
6/4/24,6/5/24,1,-5,60,1,3,N,,
6/4/24,6/5/24,1,-5,60,1,4,N,,
6/4/24,6/5/24,1,-5,60,1,5,Y,,
6/4/24,6/5/24,1,-5,60,1,6,N,,
6/4/24,6/5/24,1,-5,60,1,7,Y,,
6/4/24,6/5/24,1,-5,60,1,8,N,,
6/4/24,6/5/24,1,-5,60,1,9,N,,
6/4/24,6/5/24,1,-5,60,1,10,N,,
6/4/24,6/5/24,1,-5,60,2,1,N,,
6/4/24,6/5/24,1,-5,60,2,2,N,,
6/4/24,6/5/24,1,-5,60,2,3,N,,
6/4/24,6/5/24,1,-5,60,2,4,Y,,
6/4/24,6/5/24,1,-5,60,2,5,N,,
6/4/24,6/5/24,1,-5,60,2,6,N,,
6/4/24,6/5/24,1,-5,60,2,7,N,,
6/4/24,6/5/24,1,-5,60,2,8,N,,
6/4/24,6/5/24,1,-5,60,2,9,N,,
6/4/24,6/5/24,1,-5,60,2,10,Y,,
6/4/24,6/5/24,1,-5,60,3,1,N,,
6/4/24,6/5/24,1,-5,60,3,2,Y,,
6/4/24,6/5/24,1,-5,60,3,3,N,,
6/4/24,6/5/24,1,-5,60,3,4,N,,
6/4/24,6/5/24,1,-5,60,3,5,Y,,
6/4/24,6/5/24,1,-5,60,3,6,N,,
6/4/24,6/5/24,1,-5,60,3,7,N,,
6/4/24,6/5/24,1,-5,60,3,8,Y,,
6/4/24,6/5/24,1,-5,60,3,9,N,,
6/4/24,6/5/24,1,-5,60,3,10,N,,
6/4/24,6/5/24,1,-7.5,60,1,1,N,,
6/4/24,6/5/24,1,-7.5,60,1,2,N,0%,
6/4/24,6/5/24,1,-7.5,60,1,3,N,,
6/4/24,6/5/24,1,-7.5,60,1,4,N,,
