Rep	Temp	Alive
1	7.5	Y
1	7.5	Y
1	7.5	Y
1	7.5	Y
1	7.5	Y
1	7.5	Y
1	7.5	Y
1	7.5	Y
1	7.5	Y
1	7.5	Y
2	7.5	Y
2	7.5	Y
2	7.5	Y
2	7.5	Y
2	7.5	Y
2	7.5	Y
2	7.5	Y
2	7.5	Y
2	7.5	Y
2	7.5	Y
3	7.5	Y
3	7.5	Y
3	7.5	Y
3	7.5	Y
3	7.5	Y
3	7.5	Y
3	7.5	Y
3	7.5	Y
3	7.5	Y
3	7.5	Y
1	5	Y
1	5	Y
1	5	Y
1	5	Y
1	5	Y
1	5	Y
1	5	Y
1	5	Y
1	5	Y
1	5	Y
2	5	Y
2	5	Y
2	5	Y
2	5	Y
2	5	Y
2	5	Y
2	5	Y
2	5	Y
2	5	Y
2	5	Y
3	5	Y
3	5	Y
3	5	Y
3	5	Y
3	5	Y
3	5	Y
3	5	Y
3	5	Y
3	5	Y
3	5	Y
1	2.5	Y
1	2.5	Y
1	2.5	N
1	2.5	Y
1	2.5	Y
1	2.5	Y
1	2.5	Y
1	2.5	Y
1	2.5	Y
1	2.5	Y
2	2.5	Y
2	2.5	Y
2	2.5	Y
2	2.5	Y
2	2.5	Y
2	2.5	Y
2	2.5	Y
2	2.5	Y
2	2.5	Y
2	2.5	Y
3	2.5	Y
3	2.5	Y
3	2.5	Y
3	2.5	Y
3	2.5	Y
3	2.5	Y
3	2.5	Y
3	2.5	Y
3	2.5	Y
3	2.5	Y
1	0	Y
1	0	Y
1	0	Y
1	0	Y
1	0	Y
1	0	Y
1	0	Y
1	0	Y
1	0	Y
1	0	Y
2	0	Y
2	0	Y
2	0	Y
2	0	Y
2	0	Y
2	0	Y
2	0	Y
2	0	Y
2	0	Y
2	0	Y
3	0	Y
3	0	Y
3	0	Y
3	0	Y
3	0	Y
3	0	Y
3	0	Y
3	0	Y
3	0	Y
3	0	Y
1	-2.5	Y
1	-2.5	Y
1	-2.5	Y
1	-2.5	Y
1	-2.5	Y
1	-2.5	N
1	-2.5	Y
1	-2.5	Y
1	-2.5	Y
1	-2.5	Y
2	-2.5	Y
2	-2.5	Y
2	-2.5	Y
2	-2.5	Y
2	-2.5	Y
2	-2.5	Y
2	-2.5	Y
2	-2.5	Y
2	-2.5	Y
2	-2.5	Y
3	-2.5	Y
3	-2.5	Y
3	-2.5	Y
3	-2.5	Y
3	-2.5	Y
3	-2.5	Y
3	-2.5	Y
3	-2.5	Y
3	-2.5	Y
3	-2.5	Y
1	-5	N
1	-5	Y
1	-5	Y
1	-5	N
1	-5	N
1	-5	N
1	-5	Y
1	-5	Y
1	-5	N
1	-5	N
2	-5	N
2	-5	Y
2	-5	N
2	-5	Y
2	-5	N
2	-5	N
2	-5	N
2	-5	Y
2	-5	Y
2	-5	N
3	-5	N
3	-5	Y
3	-5	N
3	-5	N
3	-5	N
3	-5	Y
3	-5	Y
3	-5	N
3	-5	Y
3	-5	N
1	-7	N
1	-7	N
1	-7	N
1	-7	N
1	-7	N
1	-7	N
1	-7	N
1	-7	N
1	-7	N
1	-7	N
2	-7	N
2	-7	N
2	-7	N
2	-7	N
2	-7	N
2	-7	N
2	-7	N
2	-7	N
2	-7	N
2	-7	N
3	-7	N
3	-7	N
3	-7	N
3	-7	N
3	-7	N
3	-7	N
3	-7	N
3	-7	N
3	-7	N
3	-7	N
