Date,Day,Month,Year,Days after Collection,Temp,Time,Rep,Bug,Alive,,
10/4/23,4,10,2023,1,-2.5,180,1,1F,Y,,
10/4/23,4,10,2023,1,-2.5,180,1,2F,Y,,
10/4/23,4,10,2023,1,-2.5,180,1,3F,Y,,
10/4/23,4,10,2023,1,-2.5,180,1,4F,Y,,
10/4/23,4,10,2023,1,-2.5,180,1,5F,N,,
10/4/23,4,10,2023,1,-2.5,180,1,1M,Y,,
10/4/23,4,10,2023,1,-2.5,180,1,2M,Y,,
10/4/23,4,10,2023,1,-2.5,180,1,3M,Y,,
10/4/23,4,10,2023,1,-2.5,180,1,4M,Y,,
10/4/23,4,10,2023,1,-2.5,180,1,5M,N,,
10/6/23,6,10,2023,3,-2.5,180,2,1F,Y,,
10/6/23,6,10,2023,3,-2.5,180,2,2F,Y,,
10/6/23,6,10,2023,3,-2.5,180,2,3F,Y,,
10/6/23,6,10,2023,3,-2.5,180,2,4F,Y,,
10/6/23,6,10,2023,3,-2.5,180,2,5F,Y,,
10/6/23,6,10,2023,3,-2.5,180,2,6F,Y,,
10/6/23,6,10,2023,3,-2.5,180,2,7F,Y,,
10/6/23,6,10,2023,3,-2.5,180,2,8F,N,,
10/6/23,6,10,2023,3,-2.5,180,2,9F,N,,
10/6/23,6,10,2023,3,-2.5,180,2,10F,N,,
10/6/23,6,10,2023,3,-2.5,180,3,1F,Y,,
10/6/23,6,10,2023,3,-2.5,180,3,2F,Y,,
10/6/23,6,10,2023,3,-2.5,180,3,3F,Y,,
10/6/23,6,10,2023,3,-2.5,180,3,4F,Y,,
10/6/23,6,10,2023,3,-2.5,180,3,5F,Y,,
10/6/23,6,10,2023,3,-2.5,180,3,6F,N,,
10/6/23,6,10,2023,3,-2.5,180,3,7F,N,,
10/6/23,6,10,2023,3,-2.5,180,3,8F,N,,
10/6/23,6,10,2023,3,-2.5,180,3,9F,N,,
10/6/23,6,10,2023,3,-2.5,180,3,10F,N,,
10/9/23,9,10,2023,0,-2.5,180,4,1F,Y,,
10/9/23,9,10,2023,0,-2.5,180,4,2F,Y,,
10/9/23,9,10,2023,0,-2.5,180,4,3F,Y,,
10/9/23,9,10,2023,0,-2.5,180,4,4F,Y,,
10/9/23,9,10,2023,0,-2.5,180,4,5F,N,,
10/9/23,9,10,2023,0,-2.5,180,4,1M,Y,,
10/9/23,9,10,2023,0,-2.5,180,4,2M,N,,
10/9/23,9,10,2023,0,-2.5,180,4,3M,N,,
10/9/23,9,10,2023,0,-2.5,180,4,4M,N,,
10/9/23,9,10,2023,0,-2.5,180,4,5M,N,,
10/4/23,4,10,2023,1,-2.5,210,1,1F,Y,,
10/4/23,4,10,2023,1,-2.5,210,1,2F,Y,,
10/4/23,4,10,2023,1,-2.5,210,1,3F,Y,,
10/4/23,4,10,2023,1,-2.5,210,1,4F,Y,,
10/4/23,4,10,2023,1,-2.5,210,1,5F,Y,,
10/4/23,4,10,2023,1,-2.5,210,1,6F,Y,,
10/4/23,4,10,2023,1,-2.5,210,1,7F,N,,
10/4/23,4,10,2023,1,-2.5,210,1,8F,N,,
10/4/23,4,10,2023,1,-2.5,210,1,9F,N,,
10/4/23,4,10,2023,1,-2.5,210,1,10F,N,,
10/6/23,6,10,2023,3,-2.5,210,2,1F,Y,,
10/6/23,6,10,2023,3,-2.5,210,2,2F,Y,,
10/6/23,6,10,2023,3,-2.5,210,2,3F,Y,,
10/6/23,6,10,2023,3,-2.5,210,2,4F,N,,
10/6/23,6,10,2023,3,-2.5,210,2,5F,N,,
10/6/23,6,10,2023,3,-2.5,210,2,6F,N,,
10/6/23,6,10,2023,3,-2.5,210,2,7F,N,,
10/6/23,6,10,2023,3,-2.5,210,2,8F,N,,
10/6/23,6,10,2023,3,-2.5,210,2,9F,N,,
10/6/23,6,10,2023,3,-2.5,210,2,10F,N,,
10/9/23,9,10,2023,0,-2.5,210,3,1M,Y,,
10/9/23,9,10,2023,0,-2.5,210,3,2M,Y,,
10/9/23,9,10,2023,0,-2.5,210,3,3M,Y,,
10/9/23,9,10,2023,0,-2.5,210,3,4M,N,,
10/9/23,9,10,2023,0,-2.5,210,3,5M,N,,
10/9/23,9,10,2023,0,-2.5,210,3,1F,Y,,
10/9/23,9,10,2023,0,-2.5,210,3,2F,Y,,
10/9/23,9,10,2023,0,-2.5,210,3,3F,N,,
10/9/23,9,10,2023,0,-2.5,210,3,4F,N,,
10/9/23,9,10,2023,0,-2.5,210,3,5F,N,,
10/13/23,13,10,2023,4,-2.5,210,4,1F,Y,,
10/13/23,13,10,2023,4,-2.5,210,4,2F,N,,
10/13/23,13,10,2023,4,-2.5,210,4,3F,N,,
10/13/23,13,10,2023,4,-2.5,210,4,4F,N,,
10/13/23,13,10,2023,4,-2.5,210,4,5F,N,,
10/13/23,13,10,2023,4,-2.5,210,4,6F,N,,
10/13/23,13,10,2023,4,-2.5,210,4,7F,N,,
10/13/23,13,10,2023,4,-2.5,210,4,8F,N,,
10/13/23,13,10,2023,4,-2.5,210,4,9F,N,,
10/13/23,13,10,2023,4,-2.5,210,4,10F,N,,
10/3/23,3,10,2023,0,-2.5,240,1,1F,Y,,
10/3/23,3,10,2023,0,-2.5,240,1,2F,Y,,
10/3/23,3,10,2023,0,-2.5,240,1,3F,Y,,
10/3/23,3,10,2023,0,-2.5,240,1,4F,Y,,
10/3/23,3,10,2023,0,-2.5,240,1,5F,N,,
10/3/23,3,10,2023,0,-2.5,240,1,1M,Y,,
10/3/23,3,10,2023,0,-2.5,240,1,2M,N,,
10/3/23,3,10,2023,0,-2.5,240,1,3M,N,,
10/3/23,3,10,2023,0,-2.5,240,1,4M,N,,
10/3/23,3,10,2023,0,-2.5,240,1,5M,N,,
10/6/23,6,10,2023,3,-2.5,240,2,1F,Y,,
