Temp,Rep,Bug,Time,Alive
-2.5,1,1,90,Y
-2.5,1,2,90,Y
-2.5,1,3,90,Y
-2.5,1,4,90,Y
-2.5,1,5,90,Y
-2.5,1,6,90,N
-2.5,1,7,90,Y
-2.5,1,8,90,Y
-2.5,1,9,90,Y
-2.5,1,10,90,Y
-2.5,2,1,90,Y
-2.5,2,2,90,Y
-2.5,2,3,90,Y
-2.5,2,4,90,Y
-2.5,2,5,90,Y
-2.5,2,6,90,Y
-2.5,2,7,90,Y
-2.5,2,8,90,Y
-2.5,2,9,90,Y
-2.5,2,10,90,Y
-2.5,3,1,90,Y
-2.5,3,2,90,Y
-2.5,3,3,90,Y
-2.5,3,4,90,Y
-2.5,3,5,90,Y
-2.5,3,6,90,Y
-2.5,3,7,90,Y
-2.5,3,8,90,Y
-2.5,3,9,90,Y
-2.5,3,10,90,Y
-2.5,1,1,120,Y
-2.5,1,2,120,Y
-2.5,1,3,120,Y
-2.5,1,4,120,Y
-2.5,1,5,120,Y
-2.5,1,6,120,Y
-2.5,1,7,120,Y
-2.5,1,8,120,Y
-2.5,1,9,120,Y
-2.5,1,10,120,Y
-2.5,2,1,120,Y
-2.5,2,2,120,Y
-2.5,2,3,120,Y
-2.5,2,4,120,Y
-2.5,2,5,120,Y
-2.5,2,6,120,Y
-2.5,2,7,120,Y
-2.5,2,8,120,Y
-2.5,2,9,120,Y
-2.5,2,10,120,Y
-2.5,3,1,120,Y
-2.5,3,2,120,Y
-2.5,3,3,120,Y
-2.5,3,4,120,N
-2.5,3,5,120,Y
-2.5,3,6,120,Y
-2.5,3,7,120,Y
-2.5,3,8,120,Y
-2.5,3,9,120,Y
-2.5,3,10,120,Y
-2.5,1,1,150,Y
-2.5,1,2,150,Y
-2.5,1,3,150,N
-2.5,1,4,150,Y
-2.5,1,5,150,Y
-2.5,1,6,150,Y
-2.5,1,7,150,Y
-2.5,1,8,150,Y
-2.5,1,9,150,Y
-2.5,1,10,150,Y
-2.5,2,1,150,Y
-2.5,2,2,150,Y
-2.5,2,3,150,Y
-2.5,2,4,150,N
-2.5,2,5,150,Y
-2.5,2,6,150,Y
-2.5,2,7,150,Y
-2.5,2,8,150,Y
-2.5,2,9,150,Y
-2.5,2,10,150,Y
-2.5,3,1,150,Y
-2.5,3,2,150,Y
-2.5,3,3,150,Y
-2.5,3,4,150,Y
-2.5,3,5,150,Y
-2.5,3,6,150,Y
-2.5,3,7,150,N
-2.5,3,8,150,Y
-2.5,3,9,150,Y
-2.5,3,10,150,Y
-2.5,1,1,180,Y
-2.5,1,2,180,Y
-2.5,1,3,180,N
-2.5,1,4,180,Y
-2.5,1,5,180,Y
-2.5,1,6,180,Y
-2.5,1,7,180,Y
-2.5,1,8,180,N
-2.5,1,9,180,Y
-2.5,1,10,180,N
-2.5,2,1,180,Y
-2.5,2,2,180,Y
-2.5,2,3,180,Y
-2.5,2,4,180,Y
-2.5,2,5,180,Y
-2.5,2,6,180,N
-2.5,2,7,180,Y
-2.5,2,8,180,Y
-2.5,2,9,180,Y
-2.5,2,10,180,Y
-2.5,3,1,180,Y
-2.5,3,2,180,N
-2.5,3,3,180,Y
-2.5,3,4,180,Y
-2.5,3,5,180,N
-2.5,3,6,180,Y
-2.5,3,7,180,Y
-2.5,3,8,180,Y
-2.5,3,9,180,Y
-2.5,3,10,180,Y
-2.5,1,1,210,Y
-2.5,1,2,210,Y
-2.5,1,3,210,Y
-2.5,1,4,210,Y
-2.5,1,5,210,Y
-2.5,1,6,210,Y
-2.5,1,7,210,N
-2.5,1,8,210,Y
-2.5,1,9,210,Y
-2.5,1,10,210,Y
-2.5,2,1,210,Y
-2.5,2,2,210,Y
-2.5,2,3,210,Y
-2.5,2,4,210,Y
-2.5,2,5,210,Y
-2.5,2,6,210,Y
-2.5,2,7,210,Y
-2.5,2,8,210,Y
-2.5,2,9,210,Y
-2.5,2,10,210,Y
-2.5,3,1,210,Y
-2.5,3,2,210,Y
-2.5,3,3,210,Y
-2.5,3,4,210,Y
-2.5,3,5,210,Y
-2.5,3,6,210,Y
-2.5,3,7,210,Y
-2.5,3,8,210,Y
-2.5,3,9,210,Y
-2.5,3,10,210,Y
-2.5,1,1,240,Y
-2.5,1,2,240,N
-2.5,1,3,240,Y
-2.5,1,4,240,Y
-2.5,1,5,240,Y
-2.5,1,6,240,Y
