Plant ID,Treatment,Variety,Day,InsectCount,PreSprayCount
CF11,Crptonyx,Cabernet franc,0,41,41
CF12,Crptonyx,Cabernet franc,0,19,19
CF13,Crptonyx,Cabernet franc,0,16,16
CF14,Crptonyx,Cabernet franc,0,29,29
CF15,Crptonyx,Cabernet franc,0,19,19
CF16,Crptonyx,Cabernet franc,0,32,32
CF17,Crptonyx,Cabernet franc,0,15,15
CF18,Crptonyx,Cabernet franc,0,14,14
CF19,Crptonyx,Cabernet franc,0,8,8
CF110,Crptonyx,Cabernet franc,0,2,2
CF111,Crptonyx,Cabernet franc,0,23,23
CF112,Crptonyx,Cabernet franc,0,11,11
CF113,Crptonyx,Cabernet franc,0,22,22
CF114,Crptonyx,Cabernet franc,0,17,17
CF115,Crptonyx,Cabernet franc,0,31,31
CF116,Crptonyx,Cabernet franc,0,46,46
CF117,Crptonyx,Cabernet franc,0,69,69
CF61,Crptonyx,Cabernet franc,0,19,19
CF62,Crptonyx,Cabernet franc,0,3,3
CF63,Crptonyx,Cabernet franc,0,13,13
CF64,Crptonyx,Cabernet franc,0,10,10
CF65,Crptonyx,Cabernet franc,0,8,8
CF66,Crptonyx,Cabernet franc,0,5,5
CF67,Crptonyx,Cabernet franc,0,0,0
CF68,Crptonyx,Cabernet franc,0,0,0
CF69,Crptonyx,Cabernet franc,0,2,2
CF610,Crptonyx,Cabernet franc,0,1,1
CF611,Crptonyx,Cabernet franc,0,0,0
CF612,Crptonyx,Cabernet franc,0,3,3
CF613,Crptonyx,Cabernet franc,0,3,3
CF614,Crptonyx,Cabernet franc,0,6,6
CF615,Crptonyx,Cabernet franc,0,13,13
CF616,Crptonyx,Cabernet franc,0,12,12
CF617,Crptonyx,Cabernet franc,0,9,9
CF121,Crptonyx,Cabernet franc,0,21,21
CF122,Crptonyx,Cabernet franc,0,7,7
CF123,Crptonyx,Cabernet franc,0,6,6
CF124,Crptonyx,Cabernet franc,0,4,4
CF125,Crptonyx,Cabernet franc,0,3,3
CF126,Crptonyx,Cabernet franc,0,1,1
CF127,Crptonyx,Cabernet franc,0,1,1
