DateCollected,Year,Month,Day,TrapCode,TreeType,Rep,First,Second,Third,Fourth,AdultMale,AdultFemale,Total
6/9/21,2021,6,9,1B,BW,1,3,0,0,0,0,0,3
6/9/21,2021,6,9,1M,M,1,0,0,0,0,0,0,0
6/9/21,2021,6,9,1O,PO,1,0,0,0,0,0,0,0
6/9/21,2021,6,9,1H,H,1,2,0,0,0,0,0,2
6/9/21,2021,6,9,1T,TOH,1,2,0,0,0,0,0,2
6/9/21,2021,6,9,2B,BW,2,31,1,0,0,0,0,32
6/9/21,2021,6,9,2M,M,2,1,0,0,0,0,0,1
6/9/21,2021,6,9,2O,PO,2,6,0,0,0,0,0,6
6/9/21,2021,6,9,2H,H,2,0,0,0,0,0,0,0
6/9/21,2021,6,9,2T,TOH,2,0,0,0,0,0,0,0
6/9/21,2021,6,9,3B,BW,3,0,0,0,0,0,0,0
6/9/21,2021,6,9,3M,M,3,1,0,0,0,0,0,1
6/9/21,2021,6,9,3O,PO,3,0,0,0,0,0,0,0
6/9/21,2021,6,9,3H,H,3,0,0,0,0,0,0,0
6/9/21,2021,6,9,3T,TOH,3,3,0,0,0,0,0,3
6/16/21,2021,6,16,1B,BW,1,0,0,0,0,0,0,0
6/16/21,2021,6,16,1M,M,1,0,0,0,0,0,0,0
6/16/21,2021,6,16,1O,PO,1,1,1,0,0,0,0,2
6/16/21,2021,6,16,1H,H,1,0,0,0,0,0,0,0
6/16/21,2021,6,16,1T,TOH,1,4,3,0,0,0,0,7
6/16/21,2021,6,16,2B,BW,2,6,14,0,0,0,0,20
6/16/21,2021,6,16,2M,M,2,0,0,0,0,0,0,0
6/16/21,2021,6,16,2O,PO,2,2,6,0,0,0,0,8
6/16/21,2021,6,16,2H,H,2,0,0,0,0,0,0,0
6/16/21,2021,6,16,2T,TOH,2,2,0,0,0,0,0,2
6/16/21,2021,6,16,3B,BW,3,1,0,0,0,0,0,1
6/16/21,2021,6,16,3M,M,3,0,0,0,0,0,0,0
6/16/21,2021,6,16,3O,PO,3,1,2,0,0,0,0,3
6/16/21,2021,6,16,3H,H,3,2,5,0,0,0,0,7
6/16/21,2021,6,16,3T,TOH,3,0,1,0,0,0,0,1
6/23/21,2021,6,23,1B,BW,1,0,1,1,0,0,0,2
6/23/21,2021,6,23,1M,M,1,0,0,0,0,0,0,0
6/23/21,2021,6,23,1O,PO,1,1,1,0,0,0,0,2
6/23/21,2021,6,23,1H,H,1,0,0,0,0,0,0,0
6/23/21,2021,6,23,1T,TOH,1,0,9,2,0,0,0,11
6/23/21,2021,6,23,2B,BW,2,4,24,1,0,0,0,29
6/23/21,2021,6,23,2M,M,2,0,1,0,0,0,0,1
6/23/21,2021,6,23,2O,PO,2,0,14,0,0,0,0,14
6/23/21,2021,6,23,2H,H,2,0,0,0,0,0,0,0
6/23/21,2021,6,23,2T,TOH,2,0,1,0,0,0,0,1
6/23/21,2021,6,23,3B,BW,3,0,2,0,0,0,0,2
6/23/21,2021,6,23,3M,M,3,0,0,0,0,0,0,0
6/23/21,2021,6,23,3O,PO,3,0,1,0,0,0,0,1
6/23/21,2021,6,23,3H,H,3,1,4,0,0,0,0,5
6/23/21,2021,6,23,3T,TOH,3,0,3,0,0,0,0,3
6/29/21,2021,6,29,1B,BW,1,0,2,0,0,0,0,2
6/29/21,2021,6,29,1M,M,1,0,0,0,0,0,0,0
6/29/21,2021,6,29,1O,PO,1,0,1,0,0,0,0,1
6/29/21,2021,6,29,1H,H,1,0,0,0,0,0,0,0
6/29/21,2021,6,29,1T,TOH,1,0,1,2,0,0,0,3
6/29/21,2021,6,29,2B,BW,2,0,7,2,0,0,0,9
6/29/21,2021,6,29,2M,M,2,0,0,0,0,0,0,0
6/29/21,2021,6,29,2O,PO,2,0,3,2,0,0,0,5
6/29/21,2021,6,29,2H,H,2,0,0,0,0,0,0,0
6/29/21,2021,6,29,2T,TOH,2,0,0,0,0,0,0,0
6/29/21,2021,6,29,3B,BW,3,0,0,0,0,0,0,0
6/29/21,2021,6,29,3M,M,3,0,0,0,0,0,0,0
6/29/21,2021,6,29,3O,PO,3,0,1,0,0,0,0,1
6/29/21,2021,6,29,3H,H,3,0,4,1,0,0,0,5
6/29/21,2021,6,29,3T,TOH,3,0,1,0,0,0,0,1
7/7/21,2021,7,7,1B,BW,1,0,0,0,0,0,0,0
7/7/21,2021,7,7,1M,M,1,0,0,0,0,0,0,0
7/7/21,2021,7,7,1O,PO,1,0,0,0,0,0,0,0
7/7/21,2021,7,7,1H,H,1,0,0,0,0,0,0,0
7/7/21,2021,7,7,1T,TOH,1,0,2,0,0,0,0,2
7/7/21,2021,7,7,2B,BW,2,0,0,2,0,0,0,2
7/7/21,2021,7,7,2M,M,2,0,0,0,0,0,0,0
7/7/21,2021,7,7,2O,PO,2,0,0,1,0,0,0,1
7/7/21,2021,7,7,2H,H,2,1,0,0,0,0,0,1
7/7/21,2021,7,7,2T,TOH,2,0,0,0,0,0,0,0
7/7/21,2021,7,7,3B,BW,3,0,0,2,0,0,0,2
7/7/21,2021,7,7,3M,M,3,0,0,0,0,0,0,0
7/7/21,2021,7,7,3O,PO,3,0,0,1,0,0,0,1
7/7/21,2021,7,7,3H,H,3,0,1,2,0,0,0,3
7/7/21,2021,7,7,3T,TOH,3,0,0,0,0,0,0,0
7/14/21,2021,7,14,1B,BW,1,0,0,0,0,0,0,0
7/14/21,2021,7,14,1M,M,1,0,0,0,0,0,0,0
7/14/21,2021,7,14,1O,PO,1,0,0,0,0,0,0,0
7/14/21,2021,7,14,1H,H,1,0,0,0,0,0,0,0
7/14/21,2021,7,14,1T,TOH,1,0,0,0,0,0,0,0
7/14/21,2021,7,14,2B,BW,2,0,0,1,2,0,0,3
7/14/21,2021,7,14,2M,M,2,0,0,0,0,0,0,0
7/14/21,2021,7,14,2O,PO,2,0,0,0,0,0,0,0
7/14/21,2021,7,14,2H,H,2,0,0,0,0,0,0,0
7/14/21,2021,7,14,2T,TOH,2,0,0,0,0,0,0,0
7/14/21,2021,7,14,3B,BW,3,0,0,0,0,0,0,0
7/14/21,2021,7,14,3M,M,3,0,0,0,0,0,0,0
7/14/21,2021,7,14,3O,PO,3,0,0,0,0,0,0,0
7/14/21,2021,7,14,3H,H,3,0,0,1,0,0,0,1
7/14/21,2021,7,14,3T,TOH,3,0,0,0,0,0,0,0
7/20/21,2021,7,20,1B,BW,1,0,0,0,1,0,0,1
7/20/21,2021,7,20,1M,M,1,0,0,0,0,0,0,0
7/20/21,2021,7,20,1O,PO,1,0,0,0,0,0,0,0
7/20/21,2021,7,20,1H,H,1,0,0,0,0,0,0,0
7/20/21,2021,7,20,1T,TOH,1,0,0,0,3,0,0,3
7/20/21,2021,7,20,2B,BW,2,0,0,0,5,0,0,5
7/20/21,2021,7,20,2M,M,2,0,0,0,0,0,0,0
7/20/21,2021,7,20,2O,PO,2,0,0,0,0,0,0,0
7/20/21,2021,7,20,2H,H,2,0,0,0,0,0,0,0
7/20/21,2021,7,20,2T,TOH,2,0,0,0,0,0,0,0
7/20/21,2021,7,20,3B,BW,3,0,0,0,0,0,0,0
7/20/21,2021,7,20,3M,M,3,0,0,0,0,0,0,0
7/20/21,2021,7,20,3O,PO,3,0,0,0,0,0,0,0
7/20/21,2021,7,20,3H,H,3,0,0,0,1,0,0,1
7/20/21,2021,7,20,3T,TOH,3,0,0,0,1,0,0,1
7/29/21,2021,7,29,1B,BW,1,0,0,0,1,0,0,1
7/29/21,2021,7,29,1M,M,1,0,0,0,0,0,0,0
7/29/21,2021,7,29,1O,PO,1,0,0,0,0,0,0,0
7/29/21,2021,7,29,1H,H,1,0,0,0,0,0,0,0
7/29/21,2021,7,29,1T,TOH,1,0,0,0,1,0,0,1
7/29/21,2021,7,29,2B,BW,2,0,0,0,1,0,0,1
7/29/21,2021,7,29,2M,M,2,0,0,0,0,0,0,0
7/29/21,2021,7,29,2O,PO,2,0,0,0,0,0,0,0
7/29/21,2021,7,29,2H,H,2,0,0,0,0,0,0,0
7/29/21,2021,7,29,2T,TOH,2,0,0,0,0,0,0,0
7/29/21,2021,7,29,3B,BW,3,0,0,0,0,0,0,0
7/29/21,2021,7,29,3M,M,3,0,0,1,0,0,0,1
7/29/21,2021,7,29,3O,PO,3,0,0,0,0,0,0,0
7/29/21,2021,7,29,3H,H,3,0,0,1,0,0,0,1
7/29/21,2021,7,29,3T,TOH,3,0,0,0,0,0,0,0
8/4/21,2021,8,4,1B,BW,1,0,0,0,0,0,0,0
8/4/21,2021,8,4,1M,M,1,0,0,0,0,0,0,0
8/4/21,2021,8,4,1O,PO,1,0,0,0,0,0,0,0
8/4/21,2021,8,4,1H,H,1,0,0,0,0,0,0,0
8/4/21,2021,8,4,1T,TOH,1,0,0,0,0,0,0,0
8/4/21,2021,8,4,2B,BW,2,0,0,0,1,0,0,1
8/4/21,2021,8,4,2M,M,2,0,0,0,0,0,0,0
8/4/21,2021,8,4,2O,PO,2,0,0,0,0,0,0,0
8/4/21,2021,8,4,2H,H,2,0,0,0,0,0,0,0
8/4/21,2021,8,4,2T,TOH,2,0,0,0,0,0,0,0
8/4/21,2021,8,4,3B,BW,3,0,0,0,0,0,0,0
8/4/21,2021,8,4,3M,M,3,0,0,0,0,0,0,0
8/4/21,2021,8,4,3O,PO,3,0,0,0,0,1,0,1
8/4/21,2021,8,4,3H,H,3,0,0,0,0,0,0,0
8/4/21,2021,8,4,3T,TOH,3,0,0,0,0,0,0,0
8/11/21,2021,8,11,1B,BW,1,0,0,0,0,0,0,0
8/11/21,2021,8,11,1M,M,1,0,0,0,0,0,0,0
8/11/21,2021,8,11,1O,PO,1,0,0,0,0,0,0,0
8/11/21,2021,8,11,1H,H,1,0,0,0,0,0,0,0
8/11/21,2021,8,11,1T,TOH,1,0,0,0,2,2,2,6
8/11/21,2021,8,11,2B,BW,2,0,0,0,0,0,0,0
8/11/21,2021,8,11,2M,M,2,0,0,0,0,0,0,0
8/11/21,2021,8,11,2O,PO,2,0,0,0,1,0,0,1
8/11/21,2021,8,11,2H,H,2,0,0,0,0,0,0,0
8/11/21,2021,8,11,2T,TOH,2,0,0,0,0,0,0,0
8/11/21,2021,8,11,3B,BW,3,0,0,0,0,0,0,0
8/11/21,2021,8,11,3M,M,3,0,0,0,0,0,0,0
8/11/21,2021,8,11,3O,PO,3,0,0,0,1,0,0,1
8/11/21,2021,8,11,3H,H,3,0,0,0,2,0,0,2
8/11/21,2021,8,11,3T,TOH,3,0,0,0,1,0,0,1
8/18/21,2021,8,18,1B,BW,1,0,0,0,0,0,0,0
8/18/21,2021,8,18,1M,M,1,0,0,0,0,0,0,0
8/18/21,2021,8,18,1O,PO,1,0,0,0,0,0,0,0
8/18/21,2021,8,18,1H,H,1,0,0,0,0,0,0,0
8/18/21,2021,8,18,1T,TOH,1,0,0,0,0,0,1,1
8/18/21,2021,8,18,2B,BW,2,0,0,0,0,0,0,0
8/18/21,2021,8,18,2M,M,2,0,0,0,0,0,0,0
8/18/21,2021,8,18,2O,PO,2,0,0,0,0,0,0,0
8/18/21,2021,8,18,2H,H,2,0,0,0,0,0,0,0
8/18/21,2021,8,18,2T,TOH,2,0,0,0,0,1,0,1
8/18/21,2021,8,18,3B,BW,3,0,0,0,0,1,0,1
8/18/21,2021,8,18,3M,M,3,0,0,0,0,0,0,0
8/18/21,2021,8,18,3O,PO,3,0,0,0,0,0,0,0
8/18/21,2021,8,18,3H,H,3,0,0,0,1,1,0,2
8/18/21,2021,8,18,3T,TOH,3,0,0,0,0,0,0,0
8/24/21,2021,8,24,1B,BW,1,0,0,0,0,0,0,0
8/24/21,2021,8,24,1M,M,1,0,0,0,0,0,0,0
8/24/21,2021,8,24,1O,PO,1,0,0,0,0,0,0,0
8/24/21,2021,8,24,1H,H,1,0,0,0,0,0,0,0
8/24/21,2021,8,24,1T,TOH,1,0,0,0,0,2,1,3
8/24/21,2021,8,24,2B,BW,2,0,0,0,0,0,0,0
8/24/21,2021,8,24,2M,M,2,0,0,0,0,0,0,0
8/24/21,2021,8,24,2O,PO,2,0,0,0,1,1,0,2
8/24/21,2021,8,24,2H,H,2,0,0,0,0,0,0,0
8/24/21,2021,8,24,2T,TOH,2,0,0,0,1,0,0,1
8/24/21,2021,8,24,3B,BW,3,0,0,0,0,0,0,0
8/24/21,2021,8,24,3M,M,3,0,0,0,0,0,0,0
8/24/21,2021,8,24,3O,PO,3,0,0,0,0,0,0,0
8/24/21,2021,8,24,3H,H,3,0,0,0,0,0,0,0
8/24/21,2021,8,24,3T,TOH,3,0,0,0,0,0,0,0
8/30/21,2021,8,30,1B,BW,1,0,0,0,0,0,0,0
8/30/21,2021,8,30,1M,M,1,0,0,0,0,0,0,0
8/30/21,2021,8,30,1O,PO,1,0,0,0,0,0,0,0
8/30/21,2021,8,30,1H,H,1,0,0,0,0,0,0,0
8/30/21,2021,8,30,1T,TOH,1,0,0,0,0,0,1,1
8/30/21,2021,8,30,2B,BW,2,0,0,0,0,1,1,2
8/30/21,2021,8,30,2M,M,2,0,0,0,0,0,0,0
8/30/21,2021,8,30,2O,PO,2,0,0,0,0,0,0,0
